date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2024-03-15,496.4381103515625,Range,0,-0.0,1000000.0,0.1944877994732352,0.0542229386239178,20.963856413407154,0.0,0.0
2024-03-18,499.3885192871094,Range,0,-0.0,1000000.0,0.5715693731347717,0.04997201351896277,12.971672010439429,0.0,0.0
2024-03-19,502.1636962890625,Range,0,-0.0,1000000.0,0.9258637019875899,0.019753600861630072,2.561988047236629,0.0,0.0
2024-03-20,506.80828857421875,Range,0,-0.0,1000000.0,0.1855424779963611,0.035541225960623674,32.7825897243776,0.0,0.0
2024-03-21,508.4833068847656,Range,0,-0.0,1000000.0,0.31715007666604805,0.03620912165762262,28.79470041261203,0.0,0.0
2024-03-22,507.5191955566406,Range,0,-0.0,1000000.0,0.3115717106778422,0.04863634677580737,26.31671689062812,0.0,0.0
2024-03-25,506.1170654296875,Range,0,-0.0,1000000.0,0.17671363794129324,0.0569471154042338,24.81196907405762,0.0,0.0
2024-03-26,505.1822814941406,Range,0,-0.0,1000000.0,0.06638948071246031,0.06804078716823218,21.91349550315652,0.0,0.0
2024-03-27,509.42767333984375,Range,0,-0.0,1000000.0,0.650273645282593,0.051776773735409294,11.692919649329744,0.0,0.0
2024-03-28,509.3302917480469,Range,0,-0.0,1000000.0,0.7960235366776827,0.05080148133335999,5.712220691762482,0.0,0.0
2024-04-01,508.4443054199219,Range,0,0.0,1000000.0,-0.07133859829995792,0.04272162836444858,33.671438206125565,0.0,0.0
2024-04-02,505.2115173339844,Range,0,0.0,1000000.0,-0.37572586578849254,0.04172773402695066,27.584414691028872,0.0,0.0
2024-04-03,505.7664794921875,Range,0,0.0,1000000.0,-0.3682078670088571,0.045999468098311666,25.33841884422698,0.0,0.0
2024-04-04,499.593017578125,Range,0,0.0,1000000.0,-0.8374348378227341,0.021239352064692386,9.470552655400157,0.0,0.0
2024-04-05,504.8122253417969,Range,0,0.0,1000000.0,-0.5448609993717348,0.04649070310448657,16.625346729687127,0.0,0.0
2024-04-08,505.0946350097656,Range,0,0.0,1000000.0,-0.6473613250118528,0.051481571295581674,11.654550643634659,0.0,0.0
2024-04-09,505.6788635253906,Range,0,0.0,1000000.0,-0.776087898624346,0.05513215771677222,6.065932223826791,0.0,0.0
2024-04-10,500.61541748046875,Range,0,-0.0,1000000.0,0.10913283308493149,0.0405782620234079,32.97426114189081,0.0,0.0
2024-04-11,504.3935241699219,Range,0,-0.0,1000000.0,0.43371013985110896,0.03859377817921866,26.340783838405308,0.0,0.0
2024-04-12,497.43133544921875,Range,0,0.0,1000000.0,-0.18280059874815646,0.04401922763133253,27.216096511733653,0.0,0.0
2024-04-15,491.1994934082031,Range,0,0.0,1000000.0,-0.6793934051968389,0.02914948652970286,15.076078688328517,0.0,0.0
2024-04-16,490.3036193847656,Range,0,0.0,1000000.0,-0.8090686864601897,0.023885960270380133,9.074511444495258,0.0,0.0
2024-04-17,487.4018859863281,Range,0,0.0,1000000.0,-0.9678747354785737,0.00703652980250281,1.7438750074022806,0.0,0.0
2024-04-18,486.3989562988281,Range,0,0.0,1000000.0,-0.999281240872286,0.0003324369695655928,0.040088169177915696,0.0,0.0
2024-04-19,482.1534729003906,Range,0,-0.0,1000000.0,0.22738093400050136,0.03862030822060103,30.74779244664977,0.0,0.0
2024-04-22,486.5936584472656,Range,0,-0.0,1000000.0,0.5434375275513337,0.031018308406279352,22.70310474912842,0.0,0.0
2024-04-23,492.367919921875,Range,0,-0.0,1000000.0,0.8179271284053644,0.016730201486681626,11.358663224417175,0.0,0.0
2024-04-24,492.13421630859375,Range,20,-1707.874842356718,1025825.2940804465,0.853937421178359,0.015856346547463603,8.60030003915027,275.64193654420757,0.025825294080446426
2024-04-25,490.2646484375,Range,20,-1685.112758221356,1025040.5702740904,0.842556379110678,0.01941402803076525,7.856127799988737,3.347833552898429,-0.0007649682756746268
2024-04-26,494.9093933105469,Range,20,-1970.670889862946,1025267.0452068057,0.9853354449314731,0.0032265623300760365,0.8950563386831588,42.39762050568979,0.00022094240880110583
2024-04-29,496.66204833984375,Range,20,-1999.6943397335478,1025082.2865650195,0.9998471698667739,6.82325730838646e-05,0.009616731913731625,4.324453818786556,-0.00018020538419716292
2024-04-30,488.79437255859375,Range,12,32.39411932612937,1019146.6602014157,-0.02699509943844114,0.031461206434786844,32.481520468565,327.1526172239605,-0.005790390138818768
2024-05-01,487.2071533203125,Range,13,188.59245132438417,1019224.9734747661,-0.14507111640337245,0.03376651315809018,29.49444863065746,23.682363757433674,7.684200558033538e-05
2024-05-02,491.76422119140625,Range,14,-232.73103561571577,1020340.6011600373,0.16623645401122555,0.035122261761802144,27.032532382224563,62.96928036304773,0.001094584330550541
2024-05-03,497.85980224609375,Range,20,-1179.070631470192,1027314.3835495329,0.589535315735096,0.027917758011724084,17.833619928754576,147.05827936585555,0.006834759277016822
2024-05-06,503.0011291503906,Range,20,-1742.226620692997,1027535.4838319416,0.8711133103464985,0.014145765084819956,6.912380298490472,84.98042954006281,0.00021522163609244416
2024-05-07,503.55615234375,Range,20,-1890.150262322688,1026781.4048128243,0.9450751311613439,0.00868374993875297,2.8361089990050345,22.34635794591689,-0.0007338715119648009
2024-05-08,503.60479736328125,Range,20,-1986.2504108664925,1026311.4203444212,0.9931252054332462,0.002009630392356482,0.3280602743442678,14.518948750195182,-0.00045772592510950894
2024-05-09,506.5064697265625,Range,11,-151.44370707208677,1004690.5410278528,0.1376760973382607,0.029397380941728855,33.175193715467046,308.87789516890837,-0.021066587478206777
2024-05-10,507.158935546875,Range,13,-240.67333178183458,1005634.1227962135,0.18513333213987276,0.03185310813861614,30.375532169018374,15.364375514699635,0.0009391765223503157
2024-05-13,507.22711181640625,Range,14,-299.07028867263756,1004546.610173385,0.2136216347661697,0.03736447830367607,27.475639382583374,9.648199317176523,-0.0010814197710441453
2024-05-14,509.5543518066406,Range,18,-796.8764415889648,1006106.2201670462,0.4427091342160916,0.03933671247004212,21.55962374974558,78.93549987236827,0.0015525511488132526
2024-05-15,515.8641967773438,Range,20,-1706.9503836282386,1010040.5136629877,0.8534751918141192,0.017841028683079338,7.826111485514524,142.938825436989,0.003910415637116582
2024-05-16,514.8027954101562,Range,-13,1165.8486601138143,974754.6905914033,0.8968066616260109,0.017030560291271847,4.849920853329672,474.1302540840288,-0.03493505715292322
2024-05-17,515.5427856445312,Range,20,-1973.0797665322805,1009733.9336387577,0.9865398832661403,0.004321961899038261,0.6112575826551394,517.1122305332644,0.035885175403600034
2024-05-20,516.1366577148438,Range,-11,153.4399044044159,977323.2968841477,0.13949082218583264,0.03641160463848731,33.79232643642309,353.5737288356355,-0.03209819505403011
2024-05-21,517.4026489257812,Range,-13,317.7344255490679,976459.7011849539,0.24441109657620608,0.038717178924860554,30.34406334392085,26.971285040156634,-0.0008836335959114816
2024-05-22,515.9127807617188,Range,-13,172.51600797183562,977493.5519686489,0.13270462151679663,0.04543326133531905,28.589606653272423,22.47601128902591,0.0010587746554624466
2024-05-23,512.1444091796875,Range,16,377.911242146088,996662.6281112611,-0.236194526341305,0.04737689333843264,24.605116913891933,49.152277716347655,0.01961043743358304
2024-05-24,515.5330200195312,Range,-17,166.53904203272825,977614.1914246576,0.09796414237219309,0.056905354144693,22.270854563582194,49.27694148447943,-0.019112221276623376
2024-05-28,515.893310546875,Range,-17,270.08817171818316,979520.6896097693,0.15887539512834303,0.07074332670077377,17.970461004684402,16.026090995303104,0.001950153958314882
2024-05-29,512.28076171875,Range,20,961.4486448060098,993836.4356095699,-0.4807243224030049,0.0801999665031068,10.459952455674756,119.2039520706744,0.014615052189968392
2024-05-30,508.8824462890625,Range,9,31.20547431425262,989213.7756041893,-0.034672749238058465,0.043542197690654434,33.80383430333211,161.11237198064376,-0.004651328769754048
2024-05-31,513.517333984375,Range,13,-479.1605535782883,992609.85458145,0.3685850412140679,0.04107884190854186,28.175055092124012,81.37106490002753,0.0034331092641592953
2024-06-03,513.93603515625,Range,12,-529.1768970132771,990951.3537276487,0.44098074751106425,0.04399487745467205,24.348301832714284,8.346696022253647,-0.0016708486684333668
2024-06-04,514.510498046875,Range,13,-740.3958288944395,990491.6270630362,0.5695352529957227,0.046699149613206224,18.95230286702527,33.18010190132818,-0.0004639245537969572
2024-06-05,520.6256103515625,Range,20,-1900.6479738811358,999439.3010399782,0.950323986940568,0.010329608422819058,3.3019185843886127,188.15003925712656,0.00903356851533732
2024-06-06,520.615966796875,Range,20,-1964.854585934402,999088.6402878844,0.9824272929672009,0.0051695422644543005,1.1038527880932818,10.028096222658904,-0.00035085747751650853
2024-06-07,519.9830322265625,Range,20,-1996.349039912328,998828.4411239987,0.998174519956164,0.0009478191898705524,0.10142110159452318,4.912974503328567,-0.00026043651523322
2024-06-10,521.5895385742188,Range,9,-191.90592292573305,981508.6248987387,0.2132288032508145,0.04495870079969329,33.43476651309773,300.7382796664954,-0.017340131209889975
2024-06-11,522.8458251953125,Range,11,-371.8685296750105,982481.310616821,0.33806229970455504,0.04563153361861125,29.251302989880344,29.46862936299354,0.0009910108718429456
2024-06-12,527.139892578125,Range,-20,1384.4800376875837,955349.4630953388,0.6922400188437918,0.03135698496588089,17.608815016463844,302.3739672255518,-0.02761563729334282
2024-06-13,528.2013549804688,Range,-20,1605.6186303401169,956027.917085275,0.8028093151700584,0.025788090118781797,11.558738211782696,35.04171128326257,0.0007101631561481359
2024-06-14,528.522705078125,Range,20,-1820.175982858338,992365.9277536364,0.9100879914291691,0.018044278450365,5.461725639580923,575.5680940175674,0.03800936146210887
2024-06-17,532.7291870117188,Range,20,-1993.4594083016248,992528.1372756427,0.9967297041508123,0.0011858640459341389,0.2505354663332475,27.693941507702363,0.00016345736735789984
2024-06-18,534.0825805664062,Range,20,-1999.989396183365,992341.9010999866,0.9999946980916825,3.99147043572237e-06,0.00042407267441716345,1.0462658336841542,-0.00018763818239675434
2024-06-20,532.6317749023438,Range,11,167.72309571462858,974126.7809366693,-0.15247554155875326,0.04620530296968448,34.76624401625418,365.65362994556784,-0.01835568985157865
