date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,kelly,edge,band,return
2024-01-30,476.51507568359375,Range,0,0.0,100000.0,0.2017416409748518,0.09012358842550591,61.330815051682414,0.0,0.12344189188079949,0.3086047297019987,0.0,
2024-01-31,468.7396545410156,Range,-20,-910.2654231405749,82346.97568477063,-0.45513271157028745,0.0715044798362422,48.044365885422245,0.0,-0.25,-0.6257364281967742,13.102124903159272,-0.1765302431522937
2024-02-01,474.8746032714844,Range,-20,68.10644872360206,80072.65503527231,0.03405322436180103,0.08871022009315661,53.32218734239804,0.0,0.0003963065869284988,0.000990766467321247,15.258352830146611,-0.02761875139415637
2024-02-02,479.8737487792969,Range,-20,987.2151113185837,79442.86467036496,0.4936075556592918,0.08009663038677856,38.683267879097805,0.0,0.1347864913105074,0.3369662282762685,14.35294083043948,-0.007865236448447166
2024-02-05,478.12646484375,Range,-20,763.4288245990167,80745.85661661623,0.38171441229950837,0.10199751781606757,36.76451996876006,0.0,0.1390462429991242,0.34761560749781045,16.82063841831786,0.0164016233762192
2024-02-06,479.5146179199219,Range,-20,1196.3696509935953,82168.40708739593,0.5981848254967976,0.09929324189303605,23.984273865702328,0.0,0.07192530570627392,0.1798132642656848,16.552975084301654,0.017617628078850034
2024-02-07,483.5139465332031,Range,-20,1953.6038493180765,81616.68180708692,0.9768019246590383,0.015842321575474723,1.8473801027802241,0.0,0.09855573767971171,0.24638934419927924,4.896146485221156,-0.006714567068608068
2024-02-08,483.7275390625,Range,0,0.0,99292.8038761731,-0.04443333558945084,0.07908660543883585,64.22668362031237,0.0,0.08497126531887586,0.21242816329718964,0.0,0.2165748677564019
2024-02-09,486.523193359375,Range,-2,36.034879946292044,97763.1176332311,0.1801743997314602,0.08285019514150695,58.365151294334055,0.0,-0.022661854907219045,-0.05665463726804761,3.1922470423575335,-0.015405811732838726
2024-02-12,486.3096008300781,Range,-12,202.09624979409435,90932.228856483,0.16841354149507864,0.09110063171324027,53.433870565031114,0.0,-0.0924763007494965,-0.23119075187374125,11.225255663577162,-0.06987183860456381
2024-02-13,479.61163330078125,Range,-20,-877.2068312764713,81980.29501071418,-0.4386034156382357,0.07924048398190595,40.730289165876144,0.0,-0.25,-0.884775892774772,14.245289755323766,-0.0984462160264159
2024-02-14,483.97021484375,Range,-20,-151.41698297884284,82087.74763845175,-0.07570849148942144,0.1060860450522901,41.94286452890802,0.0,-0.2296770557886664,-0.574192639471666,17.407596583272493,0.0013107128697638082
2024-02-15,487.3094482421875,Range,-20,649.5211384184065,83198.69853974454,0.32476056920920326,0.12120552199824954,31.728010076010033,0.0,-0.18327975435052024,-0.4581993858763006,19.110843631006706,0.013533699404031374
2024-02-16,484.8826599121094,Range,-20,-4.439437549490208,85203.77898567029,-0.002219718774745083,0.18663439939601956,24.37107935942906,0.0,-0.24336187780664298,-0.6084046945166074,25.397331092243718,0.024099901574396787
2024-02-20,482.213134765625,Range,-20,423.4683342798765,74012.27180857299,0.21173416713993826,0.07016651677300938,61.85372269161758,0.0,-0.2159828398350877,-0.5399570995877192,13.185712135938267,-0.1313498921095918
2024-02-21,482.6500244140625,Range,-20,506.4532837601656,75277.34231659243,0.2532266418800828,0.0745245033175158,56.40368270585811,0.0,-0.25,-0.6287343631934705,13.733652434060785,0.017092712831345835
2024-02-22,492.63861083984375,Range,-20,1563.8823494556627,68846.01744065149,0.7819411747278315,0.034443961950738816,25.930989293004362,0.0,-0.25,-0.9794661572753633,8.322113182939262,-0.08543506821604896
2024-02-23,492.97845458984375,Range,-20,1677.0266632232265,69735.12799356614,0.8385133316116131,0.030823948604688563,18.596662877929557,0.0,-0.25,-0.6270802591861475,7.731389312143346,0.012914480546113216
2024-02-26,491.1728820800781,Range,-20,1664.4766533313052,70621.8540655309,0.8322383266656526,0.03652463276029077,16.513536340543002,0.0,-0.25,-0.8213393429557732,8.635769539267375,0.012715629804918027
2024-02-27,492.0853576660156,Range,-20,1859.794531739423,71406.84991540769,0.9298972658697116,0.022491635882788328,6.782958117341069,0.0,-0.25,-0.8640000206835039,6.258006712950374,0.011115480615226714
2024-02-28,491.43499755859375,Range,-20,1969.755540473429,72005.16670619979,0.9848777702367144,0.008675814814504277,1.2914143855603883,0.0,-0.25,-0.8919546756898424,3.3129897028930273,0.008378983129782247
2024-02-29,493.2016906738281,Range,-20,-126.58181236621067,78098.15132297462,-0.06329090618310529,0.06232196319838815,65.3798862066026,0.0,-0.25,-0.9228565483845105,12.368055043894705,0.08461871412138833
2024-03-01,497.83203125,Range,-20,514.665390201138,80253.94354100389,0.257332695100569,0.0711883608427431,58.0751876635383,0.0,-0.25,-0.6263207662922426,13.598562136227274,0.02760362673776995
2024-03-04,497.2981262207031,Range,-20,480.46601036925455,82322.73140834094,0.24023300518462726,0.08216413335619345,53.338051072693915,0.0,-0.10613289704208291,-0.26533224260520727,14.951060101191617,0.02577802131654816
2024-03-05,492.32806396484375,Range,-20,-418.6134802306189,81318.5499169798,-0.20930674011530948,0.09123984078594038,47.777996648399245,0.0,-0.25,-0.6297654937052142,15.924756830696566,-0.012198107062072028
2024-03-06,494.8227844238281,Range,-20,30.97719833711477,82622.17433763159,0.015488599168557382,0.1091814206210022,43.06934525348189,0.0,-0.13619038637058578,-0.34047596592646445,18.00887170720117,0.016031082969171218
2024-03-07,499.7345886230469,Range,-20,1155.5110979651338,81626.17209903448,0.577755548982567,0.09329005700451262,25.74176743922222,0.0,-0.25,-0.6546888125471911,16.32218185972363,-0.012054902289632241
2024-03-08,496.7351379394531,Range,-20,652.9306140745268,83389.66133592594,0.3264653070372634,0.16661352761311152,22.84662603564145,0.0,-0.2338161171628253,-0.5845402929070632,23.929076816250124,0.021604458368473578
2024-03-11,496.3080139160156,Range,-20,282.6146413169801,71954.56299804739,0.14130732065849005,0.06768504510468545,64.96164640246964,0.0,-0.2309830832603415,-0.5774577081508537,13.122612205686982,-0.13712848996728177
2024-03-12,501.6470031738281,Range,-20,979.5959892041203,70924.00923584627,0.4897979946020601,0.05752664249347696,49.72183330254874,0.0,-0.25,-0.7892200050504609,11.857958791741003,-0.014322285054098383
2024-03-13,500.86065673828125,Range,-20,945.2342183841826,72223.89520050614,0.4726171091920912,0.06406451780306072,46.1005617923823,0.0,-0.25,-0.6872464295326985,12.726107077355927,0.018327869203464076
2024-03-14,499.87054443359375,Range,-20,963.4933385213991,74849.39224343593,0.48174666926069953,0.07865306906355579,40.784678228177455,0.0,-0.04880905723357302,-0.12202264308393254,14.571207690720435,0.036352193905368146
2024-03-15,496.4381103515625,Range,-20,388.9752614270518,75490.40005737332,0.19448763071352587,0.10844578108934522,41.92771507750994,0.0,-0.14888628799772108,-0.3722157199943027,17.96688278356128,0.008563968186309667
